rdb_modern_table	rdb_modern_col	writing_sp	nrt_staging_source	odse_source_col(s)	transform_note	status	fixture_proof
HEP100	ADDR_CD_DESC	sp_hep100_datamart_postprocessing, sp_patient_dim_columns_update_to_datamart	nrt_patient	person / person_name / postal_locator (patient demographics)	from HEPATITIS_CASE + D_PATIENT join; patient-dim cols guarded-updated by sp_patient_dim_columns_update_to_datamart; NULL in live run (185/187) — address-type descriptor not present in seeded obs	INFERRED	—
HEP100	ADDR_USE_CD_DESC	sp_hep100_datamart_postprocessing, sp_patient_dim_columns_update_to_datamart	nrt_patient	person / person_name / postal_locator (patient demographics)	from HEPATITIS_CASE + D_PATIENT join; patient-dim cols guarded-updated by sp_patient_dim_columns_update_to_datamart; NULL in live run (185/187) — address-type descriptor not present in seeded obs	INFERRED	—
HEP100	ALT_RESULT_DT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	ALT_SGPT_RESULT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	ALT_SGPT_RESULT_UPPER_LIMIT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	ANTI_HBS_POSITIVE_REACTIVE_IND	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	ANTI_HBSAG_TESTED_IND	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	ANTIHCV_SIGNAL_TO_CUTOFF_RATIO	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	ANTIHCV_SUPPLEMENTAL_ASSAY	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	ASSOCIATED_OUTBRK_TYPE	sp_hep100_datamart_postprocessing	nrt_investigation	public_health_case / observation	from HEPATITIS_CASE; investigation attrs surfaced via INVESTIGATION dim	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	AST_RESULT_DT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	AST_SGOT_RESULT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	AST_SGOT_RESULT_UPPER_LIMIT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	B_INCARCERATED24PLUSHRSIN6WKMO	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	B_INCARCERATED_6PLUS_MON_IND	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	B_LAST6PLUSMON_INCARCERATE_YR	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	B_LAST_INCARCERATE_PERIOD_UNIT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLAST6PLUSMO_INCARCERATEPERIOD	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLOOD_CONTAMINATION_IN6WKMON	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLOOD_CONTAMINATION_IN_2WK6MO	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLOOD_EXPOSURE_IN2WK6MO_OTHER	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLOOD_EXPOSURE_IN6WKMON_OTHER	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLOOD_EXPOSURE_IN_LAST2WK6MO	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLOOD_EXPOSURE_IN_LAST6WKMON	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	BLOOD_TRANSFUSION_BEFORE_1992	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	C_INCARCERATED_6PLUS_MON_IND	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	C_LAST6PLUSMON_INCARCERATE_YR	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	C_LAST_INCARCERATE_PERIOD_UNIT	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	CASE_RPT_MMWR_WEEK	sp_hep100_datamart_postprocessing	nrt_investigation	public_health_case / observation	from HEPATITIS_CASE; investigation attrs surfaced via INVESTIGATION dim	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	CASE_RPT_MMWR_YEAR	sp_hep100_datamart_postprocessing	nrt_investigation	public_health_case / observation	from HEPATITIS_CASE; investigation attrs surfaced via INVESTIGATION dim	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	CASE_UID	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	CLAST6PLUSMO_INCARCERATEPERIOD	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
HEP100	CLOT_FACTOR_CONCERN_BEFORE1987	sp_hep100_datamart_postprocessing	nrt_observation / nrt_page_case_answer	observation / nbs_case_answer (hepatitis case answers)	carried from HEPATITIS_CASE (observation-pivot); see sp_hepatitis_case_datamart_postprocessing	VERIFIED	zz_hepatitis_zz_hep100_unblock.sql + coverage_merged.md (185/187)
